,id,year,contracting_authority_official_name,contracting_authority_country,contracting_authority_nut,contracting_authority_main_activity,object_title,object_type,object_description,object_total_value,cpv,award_criteria,procedure_type,url,object_total_value_clean,tenders,group_economic_operator,subcontracting,contractors,contractors_countries,contractors_total_value,award_of_contracts_address,award_of_contracts_town,group_economic_operator_boolean,subcontracting_boolean,contractors_total_value_clean,contractors_clean,VIS,Eurodac,SIS I,SIS II,Entry Exit System,cpv_clean
0,410436-2020,2020,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",France,FR FRANCE,General public services,Transversal Engineering Framework (TEF) Lot 2,Services,,187 000 000.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality / Weighting: 70,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:410436-2020:TEXT:EN:HTML&src=0,187000000.0,6,no,The contract is likely to be subcontracted,[' Intrasoft International SA'],[' Luxembourg'],187 000 000.00 EUR,"[' 2b, rue Nicolas Bové']",[' Luxembourg'],1,True,187000000.0, Intrasoft International SA,False,False,False,False,False,IT services
1,410436-2020,2020,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",France,FR FRANCE,General public services,Transversal Engineering Framework (TEF) Lot 2,Services,,187 000 000.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality / Weighting: 70,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:410436-2020:TEXT:EN:HTML&src=0,187000000.0,6,no,The contract is likely to be subcontracted,[' Atos Belgium N.V./S.A.'],[' Belgium'],187 000 000.00 EUR,[' DA Vincilaan 5'],[' Zaventem'],1,True,187000000.0, Atos Belgium N.V./S.A.,False,False,False,False,False,IT services
2,410436-2020,2020,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",France,FR FRANCE,General public services,Transversal Engineering Framework (TEF) Lot 2,Services,,187 000 000.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality / Weighting: 70,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:410436-2020:TEXT:EN:HTML&src=0,187000000.0,6,yes,,"[' European Dynamics Luxembourg SA (Group Leader)', ' European Dynamics SA', ' European Dynamics Belgium SA']","[' Luxembourg', ' Greece', ' Belgium']",187 000 000.00 EUR,"[' 12, rue Jean Engling', ' 209, Kifissias Ave. & Arkadiou Str', ' 15, rue Belliard']","[' Luxembourg', ' Athens', ' Brussels']",3,False,187000000.0,European Dynamics,False,False,False,False,False,IT services
3,410436-2020,2020,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",France,FR FRANCE,General public services,Transversal Engineering Framework (TEF) Lot 2,Services,,187 000 000.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality / Weighting: 70,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:410436-2020:TEXT:EN:HTML&src=0,187000000.0,6,yes,The contract is likely to be subcontracted,"[' Sopra Steria Benelux NV/SA (Group leader)', ' Everis Belgique SPRL']","[' Belgium', ' Belgium']",187 000 000.00 EUR,"[' 15-23 avenue Arnaud Fraiteur', ' rue de SPA 8']","[' Brussels', ' Brussels']",2,True,187000000.0," Sopra Steria Benelux NV/SA (Group leader), Everis Belgique SPRL",False,False,False,False,False,IT services
4,410436-2020,2020,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",France,FR FRANCE,General public services,Transversal Engineering Framework (TEF) Lot 2,Services,,187 000 000.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality / Weighting: 70,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:410436-2020:TEXT:EN:HTML&src=0,187000000.0,6,yes,The contract is likely to be subcontracted,"[' ARHS Developments SA (Group Leader)', ' Sword Technologies SA']","[' Luxembourg', ' Luxembourg']",187 000 000.00 EUR,"[' 13 Boulevard du Jazz', "" 2 rue d'Arlon""]","[' Belvaux', ' Windhof']",2,True,187000000.0," ARHS Developments SA (Group Leader), Sword Technologies SA",False,False,False,False,False,IT services
5,314969-2020,2020,"European Union Agency for the Operational Management of Large-scale IT Systems in the Area of Freedom, Security and Justice (EU-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Supply of Personal Protective Equipment (Face Masks) for EU-LISA,Supplies,,127 060.00 EUR,35113400 Protective and safety clothing,Price,Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:314969-2020:TEXT:EN:HTML&src=0,127060.0,1,no,,[' 365JP OÜ'],[' Estonia'],127 060.00 EUR,[' Lauliku 8-8'],[' Saku Alevik'],1,False,127060.0, 365JP OÜ,False,False,False,False,False,Protective and safety clothing
6,200083-2020,2020,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Framework Contract for Implementation and Maintenance in Working Order of the Biometrics Part of the Entry Exit System and Future Shared Biometrics Matching System,Services,,302 550 000.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Technical offer / Weighting: 60,Restricted procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:200083-2020:TEXT:EN:HTML&src=0,302550000.0,3,yes,The contract is likely to be subcontracted,"[' Idemia Identity & Security SAS', ' Sopra Steria Benelux SA/NV']","[' France', ' Belgium']",302 550 000.00 EUR,"[' 2, place Samuel de Champlain', ' 15/23 Avenue Arnaud Fraiteur']","[' Courbevoie', ' Brussels']",2,True,302550000.0," Idemia Identity & Security SAS, Sopra Steria Benelux SA/NV",False,False,False,False,True,IT services
7,170115-2020,2020,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,ICT External Assistance HQ,Services,,12 001 600.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality of tenderer’s proposal (including due diligence and phase-in plan) / Weighting: 60,Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:170115-2020:TEXT:EN:HTML&src=0,12001600.0,2,yes,The contract is likely to be subcontracted,"[' Unisys Belgium SA', ' PwC EU Services EESV', ' UniSystems Information Technology Systems Commercial SMSA']","[' Belgium', ' Belgium', ' Greece']",12 001 600.00 EUR,NA,"[' Diegem', ' Sint-Stevens-Woluwe', ' Athens']",3,True,12001600.0," Unisys Belgium SA, PwC EU Services EESV, UniSystems Information Technology Systems Commercial SMSA",False,False,False,False,False,IT services
8,596080-2019,2019,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Provision of External Assistance (EXTRA),Services,,76 060 316.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality of tenderer’s proposal (including due diligence and phase-in plan) / Weighting: 15,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:596080-2019:TEXT:EN:HTML&src=0,76060316.0,4,no,,[' Infeurope SA'],[' Luxembourg'],5 465 500.00 EUR,NA,[' Luxembourg'],1,False,5465500.0,Infeurope SA,False,False,False,False,False,IT services
9,596080-2019,2019,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Provision of External Assistance (EXTRA),Services,,76 060 316.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality of tenderer’s proposal (including due diligence and phase-in plan) / Weighting: 15,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:596080-2019:TEXT:EN:HTML&src=0,76060316.0,4,yes,,"[' Civitta Eesti AS', ' Advokaadiburoo Sorainen AS']","[' Estonia', ' Estonia']",5 465 500.00 EUR,NA,"[' Tartu', ' Tallinn']",2,False,5465500.0," Civitta Eesti AS, Advokaadiburoo Sorainen AS",False,False,False,False,False,IT services
10,596080-2019,2019,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Provision of External Assistance (EXTRA),Services,,76 060 316.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality of tenderer’s proposal (including due diligence and phase-in plan) / Weighting: 15,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:596080-2019:TEXT:EN:HTML&src=0,76060316.0,4,no,,[' Vector Synergy Spolka z Ograniczona Odpowiedzianoscia'],[' Portugal'],5 465 500.00 EUR,[' rue du Fort Niedergrünewald'],[' Poznan'],1,False,5465500.0, Vector Synergy Spolka z Ograniczona Odpowiedzianoscia,False,False,False,False,False,IT services
11,596077-2019,2019,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Provision of External Assistance (EXTRA),Services,,76 060 316.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality of tenderer’s proposal (including due diligence and phase-in plan) / Weighting: 15,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:596077-2019:TEXT:EN:HTML&src=0,76060316.0,3,yes,,"[' Unisys Belgium SA', ' PwC EU Services EESV', ' UniSystems Information Technology Systems Commercial SMSA']","[' Belgium', ' Belgium', ' Greece']",44 960 400.00 EUR,NA,"[' Diegem', ' Woluwedal', ' Athens']",3,False,44960400.0," Unisys Belgium SA, PwC EU Services EESV, UniSystems Information Technology Systems Commercial SMSA",False,False,False,False,False,IT services
12,596077-2019,2019,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Provision of External Assistance (EXTRA),Services,,76 060 316.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality of tenderer’s proposal (including due diligence and phase-in plan) / Weighting: 15,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:596077-2019:TEXT:EN:HTML&src=0,76060316.0,3,no,,[' CGITI Portugal SA'],[' Portugal'],44 960 400.00 EUR,NA,[' Lisbon'],1,False,44960400.0, CGITI Portugal SA,False,False,False,False,False,IT services
13,596077-2019,2019,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Provision of External Assistance (EXTRA),Services,,76 060 316.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality of tenderer’s proposal (including due diligence and phase-in plan) / Weighting: 15,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:596077-2019:TEXT:EN:HTML&src=0,76060316.0,3,no,,[' Engineering Ingegneria Informatica S.p.A.'],[' Italy'],44 960 400.00 EUR,[' rue du Fort Niedergrünewald'],[' Rome'],1,False,44960400.0, Engineering Ingegneria Informatica S.p.A.,False,False,False,False,False,IT services
14,596076-2019,2019,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Provision of External Assistance (EXTRA),Services,,76 060 316.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality of tenderer’s proposal (including due diligence and phase-in plan) / Weighting: 15,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:596076-2019:TEXT:EN:HTML&src=0,76060316.0,3,no,,[' Infeurope SA'],[' Luxembourg'],13 632 816.00 EUR,NA,[' Luxembourg'],1,False,13632816.0,Infeurope SA,False,False,False,False,False,IT services
15,596076-2019,2019,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Provision of External Assistance (EXTRA),Services,,76 060 316.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality of tenderer’s proposal (including due diligence and phase-in plan) / Weighting: 15,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:596076-2019:TEXT:EN:HTML&src=0,76060316.0,3,yes,,"[' Civitta Eesti AS', ' Advokaadiburoo Sorainen AS']","[' Estonia', ' Estonia']",13 632 816.00 EUR,NA,"[' Tartu', ' Tallinn']",2,False,13632816.0," Civitta Eesti AS, Advokaadiburoo Sorainen AS",False,False,False,False,False,IT services
16,596076-2019,2019,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Provision of External Assistance (EXTRA),Services,,76 060 316.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality of tenderer’s proposal (including due diligence and phase-in plan) / Weighting: 15,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:596076-2019:TEXT:EN:HTML&src=0,76060316.0,3,no,,[' Vector Synergy Spolka z Ograniczona Odpowiedzianoscia'],[' Poland'],13 632 816.00 EUR,[' Rue du Fort Niedergrünewald'],[' Poznan'],1,False,13632816.0, Vector Synergy Spolka z Ograniczona Odpowiedzianoscia,False,False,False,False,False,IT services
17,593676-2019,2019,"European Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,"Provision of Training, Conferences, Seminars, Coaching, e-learning, Learning and Organisational Development Services",Services,,2 500 000.00 EUR,80000000 Education and training services,Quality criterion - Name: Quality (as per Tender Specifications section 3.4.1) / Weighting: 60 %,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:593676-2019:TEXT:EN:HTML&src=0,2500000.0,3,yes,The contract is likely to be subcontracted,"[' INFEUROPE S.A.', ' imc information multimedia communication AG']","[' Luxembourg', ' Germany']",2 500 000.00 EUR,NA,"[' Luxembourg', ' Saarbruecken']",2,True,2500000.0,Infeurope SA,False,False,False,False,False,Education and training services
18,526594-2019,2019,"European Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,"Framework Contract for Maintenance Services and Works for Update and Improve the eu-LISA Back-up Site in Sankt Johann im Pongau, Austria",Services,,2 500 000.00 EUR,50710000 Repair and maintenance services of electrical and mechanical building installations,Price,Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:526594-2019:TEXT:EN:HTML&src=0,2500000.0,1,no,,[' ELIN GmbH'],[' Austria'],2 500 000.00 EUR,[' Pfarrgasse 75'],[' Wien'],1,False,2500000.0,ELIN GmbH,False,False,False,False,False,Repair and maintenance
19,439743-2019,2019,"European Union Agency for the Operational Management of Large-scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Provision of Medical Services,Services,,600 000.00 EUR,85100000 Health services,Quality criterion - Name: Medical approach and overall management of the process: quality of proposal / Weighting: 20,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:439743-2019:TEXT:EN:HTML&src=0,600000.0,1,no,,[' Qvalitas Arstikeskus AS'],[' Estonia'],200 000.00 EUR,[' rue du Fort Niedergrünewald'],[' Tallinn'],1,False,200000.0, Qvalitas Arstikeskus AS,False,False,False,False,False,Health services
20,414490-2019,2019,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Provision of Security Services and Equipment,Services,,3 500 000.00 EUR,79710000 Security services,Quality criterion - Name: Technical evaluation criteria / Weighting: 60,Restricted procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:414490-2019:TEXT:EN:HTML&src=0,3500000.0,1,no,,[' SPIE Facilities'],[' France'],3 500 000.00 EUR,[' 1/3 Place de la Berline'],[' Saint-Denis Cedex'],1,False,3500000.0, SPIE Facilities,False,False,False,False,False,Security services
21,375801-2019,2019,"European Union Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,"Electricity Services for eu-LISA Operational Site in Strasbourg, France",Services,,350 000.00 EUR,65300000 Electricity distribution and related services,Price,Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:375801-2019:TEXT:EN:HTML&src=0,350000.0,1,no,,[' ES Energies Strasbourg'],[' France'],350 000.00 EUR,[' rue du Fort Niedergrünewald'],[' Strasbourg'],1,False,350000.0, ES Energies Strasbourg,False,False,False,False,False,Electricity
22,373924-2019,2019,"European Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Provision of Security Guarding and Reception Services at eu-LISA Strasbourg Premises,Services,,4 000 000.00 EUR,79710000 Security services,Quality criterion - Name: Technical evaluation criteria / Weighting: 60,Restricted procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:373924-2019:TEXT:EN:HTML&src=0,4000000.0,1,no,,[' Securitas France Sarl'],[' France'],4 000 000.00 EUR,[' 253 quai de la Bataille de Stalingrad'],[' Issy-Les-Moulineux'],1,False,4000000.0, Securitas France Sarl,False,False,False,False,False,Security services
23,373923-2019,2019,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Provision of Security Services and Equipment,Services,,2 000 000.00 EUR,79710000 Security services,Quality criterion - Name: Technical Evalaution criteria / Weighting: 60,Restricted procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:373923-2019:TEXT:EN:HTML&src=0,2000000.0,1,no,,[' AS G4S EESTI'],[' Estonia'],2 000 000.00 EUR,[' Paldiski MNT 80'],[' Tallinn'],1,False,2000000.0,AS G4S Eesti,False,False,False,False,False,Security services
24,297628-2019,2019,"European Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,"Integrated Maintenance Services of eu-LISA’s Building and Technical Infrastructure in its Operational Site in Strasbourg, FRANCE",Services,,500 000.00 EUR,50700000 Repair and maintenance services of building installations,Price,Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:297628-2019:TEXT:EN:HTML&src=0,500000.0,1,no,The contract is likely to be subcontracted,[' Axima Concept S.A.'],[' France'],500 000.00 EUR,"[' Tour T1, 1 place Samuel de Champlain, Faubourg de l’Arche']",[' Paris-La-Défense'],1,True,500000.0,Axima Concept SA,False,False,False,False,False,Repair and maintenance
25,243528-2019,2019,"European Agency for the Operational Management of Large-scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,EES,Services,,142 051 690.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Technical offer / Weighting: 60,Restricted procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:243528-2019:TEXT:EN:HTML&src=0,142051690.0,4,yes,The contract is likely to be subcontracted,"[' Consortium IBM Belgium BVBA, Atos Belgium NV and Leonardo S.p.a, represented by the Group Leader IBM Belgium BVBA', ' Atos Belgium NV', ' Leonardo S.p.a']","[' Belgium', ' Belgium', ' Italy']",142 051 690.00 EUR,"[' 42 avenue du Bourget', ' Da Vincilaan 5', ' Piazza Monte Grappa n. 4']","[' Brussels', ' Zaventem', ' Rome']",3,True,142051690.0,"Consortium IBM Belgium BVBA, Atos, and Leonardo",False,False,False,False,False,IT services
26,538648-2018,2018,"European Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Framework Supply Contract for the Supply of Furniture for the New Building in eu-LISA’s Operational site in Strasbourg,Supplies,,2 500 000.00 EUR,"39000000 Furniture (incl. office furniture), furnishings, domestic appliances (excl. lighting) and cleaning products",Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:538648-2018:TEXT:EN:HTML&src=0,2500000.0,3,no,,[' Majencia S.A.'],[' France'],2 500 000.00 EUR,[' Espace Neoffice 24 a 24 bis 25 Quai Carnot'],[' Saint Cloud'],1,False,2500000.0, Majencia S.A.,False,False,False,False,False,Furniture
27,463855-2018,2018,"European Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Provision of Security Services and Equipment,Services,,11 000 000.00 EUR,79710000 Security services,Quality criterion - Name: Technical Evaluation criteria / Weighting: 60,Restricted procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:463855-2018:TEXT:EN:HTML&src=0,11000000.0,1,no,,[' AS G4S Eesti'],[' Estonia'],1 500 000.00 EUR,[' Paldiski mnt 80'],[' Tallinn'],1,False,1500000.0,AS G4S Eesti,False,False,False,False,False,Security services
28,371708-2018,2018,"European Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,"Integrated Communication Services, Event and Travel Management Services",Services,,17 900 000.00 EUR,"79000000 Business services: law, marketing, consulting, recruitment, printing and security",Quality criterion - Name: All criteria are stated in the procurement documents (tender specifications) / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:371708-2018:TEXT:EN:HTML&src=0,17900000.0,1,no,The contract is likely to be subcontracted,[' Pomilio Blumm Srl'],[' Italy'],900 000.00 EUR,NA,[' Pescara'],1,True,900000.0, Pomilio Blumm Srl,False,False,False,False,False,Business services
29,371708-2018,2018,"European Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,"Integrated Communication Services, Event and Travel Management Services",Services,,17 900 000.00 EUR,"79000000 Business services: law, marketing, consulting, recruitment, printing and security",Quality criterion - Name: All criteria are stated in the procurement documents (tender specifications) / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:371708-2018:TEXT:EN:HTML&src=0,17900000.0,5,yes,,"[' Adria Congrex Srl', ' Baltic Tours Ltd']","[' Italy', ' Estonia']",14 500 000.00 EUR,NA,"[' Rimini', ' Tallinn']",2,False,14500000.0," Adria Congrex Srl, Baltic Tours Ltd",False,False,False,False,False,Business services
30,371708-2018,2018,"European Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,"Integrated Communication Services, Event and Travel Management Services",Services,,17 900 000.00 EUR,"79000000 Business services: law, marketing, consulting, recruitment, printing and security",Quality criterion - Name: All criteria are stated in the procurement documents (tender specifications) / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:371708-2018:TEXT:EN:HTML&src=0,17900000.0,5,yes,The contract is likely to be subcontracted,"[' ProPager SARL (Leader)', ' North East West South (NEWS) Travel SA']","[' France', ' France']",14 500 000.00 EUR,NA,"[' Paris', ' Paris']",2,True,14500000.0," ProPager SARL (Leader), North East West South (NEWS) Travel SA",False,False,False,False,False,Business services
