,id,year,contracting_authority_official_name,contracting_authority_country,contracting_authority_nut,contracting_authority_main_activity,object_title,object_type,object_description,object_total_value,cpv,award_criteria,procedure_type,url,object_total_value_clean,tenders,group_economic_operator,subcontracting,contractors,contractors_countries,contractors_total_value,award_of_contracts_address,award_of_contracts_town,group_economic_operator_boolean,subcontracting_boolean,contractors_total_value_clean,contractors_clean,VIS,Eurodac,SIS I,SIS II,Entry Exit System,cpv_clean
31,371708-2018,2018,"European Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,"Integrated Communication Services, Event and Travel Management Services",Services,,17 900 000.00 EUR,"79000000 Business services: law, marketing, consulting, recruitment, printing and security",Quality criterion - Name: All criteria are stated in the procurement documents (tender specifications) / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:371708-2018:TEXT:EN:HTML&src=0,17900000.0,5,no,The contract is likely to be subcontracted,[' Pomilio Blumm Srl'],[' Italy'],14 500 000.00 EUR,NA,[' Pescara'],1,True,14500000.0, Pomilio Blumm Srl,False,False,False,False,False,Business services
32,371708-2018,2018,"European Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,"Integrated Communication Services, Event and Travel Management Services",Services,,17 900 000.00 EUR,"79000000 Business services: law, marketing, consulting, recruitment, printing and security",Quality criterion - Name: All criteria are stated in the procurement documents (tender specifications) / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:371708-2018:TEXT:EN:HTML&src=0,17900000.0,7,yes,,"[' T and T Executive SA', ' Company for trade and services Congress Service Center Vesna and dr. Ltd Skopje (Congress Service Center)', ' Business, trade and services company Congress Travel Service DOO Skopje (Congress Travel Service DOO Skopje)']","[' Greece', ' North Macedonia', ' North Macedonia']",2 500 000.00 EUR,NA,"[' Marousi, Athens', ' Skopje', ' Skopje']",3,False,2500000.0," T and T Executive SA, Company for trade and services Congress Service Center Vesna and dr. Ltd Skopje (Congress Service Center), Business, trade and services company Congress Travel Service DOO Skopje (Congress Travel Service DOO Skopje)",False,False,False,False,False,Business services
33,252094-2018,2018,"European Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,SIS II MWO,Services,,80 000 000.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: All criteria are stated only in the procurement documents (See internet address provided in Section I.1) / Weighting: 60,Restricted procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:252094-2018:TEXT:EN:HTML&src=0,80000000.0,3,no,The contract is likely to be subcontracted,[' Sopra Steria Benelux SA/NV'],[' Belgium'],80 000 000.00 EUR,[' rue du Fort Niedergrünewald'],[' Brussels'],1,True,80000000.0, Sopra Steria Benelux SA/NV,False,False,False,True,False,IT services
34,185937-2018,2018,"European Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Framework Supply Contract for the Supply of Furniture for the eu-LISA’s New Headquarters in Tallinn,Supplies,,1 000 000.00 EUR,"39000000 Furniture (incl. office furniture), furnishings, domestic appliances (excl. lighting) and cleaning products",Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:185937-2018:TEXT:EN:HTML&src=0,1000000.0,1,no,,[' Standard AS'],[' Estonia'],1 000 000.00 EUR,[' Marja 9'],[' Tallinn'],1,False,1000000.0, Standard AS,False,False,False,False,False,Furniture
35,467586-2017,2017,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Eurodac MWO.,Services,,22 690 000.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Technical evaluation criteria / Weighting: 60,Restricted procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:467586-2017:TEXT:EN:HTML&src=0,22690000.0,1,yes,,"[' Consortium Sopra Steria Benelux SA with Bull SAS and 3M Belgium BVBA/SPRL, group leader Sopra Steria Benelux SA', ' BULL SAS', ' 3M Belgium BVBA']","[' Belgium', ' France', ' Belgium']",22 690 000.00 EUR,"[' avenue Arnaud Fraiteur 15/23', ' 68 rue Jean Jaures', ' Hermeslaan 7']","[' Brussels', ' Les Clayes sous Bois', ' Diegem']",3,False,22690000.0," Consortium Sopra Steria Benelux SA with Bull SAS and 3M Belgium BVBA/SPRL, group leader Sopra Steria Benelux SA, BULL SAS, 3M Belgium BVBA",False,True,False,False,False,IT services
36,381971-2017,2017,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,LISA-2017-NP-13 (FWC LISA-2017-OP-01 lot 2).,Services,,1 200 000.00 EUR,"79000000 Business services: law, marketing, consulting, recruitment, printing and security",Quality criterion - Name: Quality / Weighting: 60,Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:381971-2017:TEXT:EN:HTML&src=0,1200000.0,1,yes,,"[' Consortium Propager SARL', ' North East West South (NEWS) Travel SA']","[' France', ' France']",4 700 000.00 EUR,NA,"[' Paris', ' Paris']",2,False,4700000.0," Consortium Propager SARL, North East West South (NEWS) Travel SA",False,False,False,False,False,Business services
37,057156-2017,2017,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Common shared infrastructure (CSI).,Services,,40 000 000.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Technical award criteria / Weighting: 60,Restricted procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:057156-2017:TEXT:EN:HTML&src=0,40000000.0,1,no,The contract is likely to be subcontracted,[' Everis Spain SLU succursale en Belgique'],[' Belgium'],40 000 000.00 EUR,"["" avenue d'Auderghem 22–28""]",[' Brussels'],1,True,40000000.0, Everis Spain SLU succursale en Belgique,False,False,False,False,False,IT services
38,205449-2016,2016,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Framework contract for the maintenance in working order of the visa information system (VIS) and biometrics matching system (BMS).,Services,,194 450 000.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Technical award criteria / Weighting: 60,Restricted procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:205449-2016:TEXT:EN:HTML&src=0,194450000.0,2,yes,,"[' Consortium Bridge³, represented by the Group Leader Accenture NV/SA', ' Consortium Bridge: consortium member Atos Belgium NV/SA', ' Consortium Bridge³, consortium member Morpho SAS']","[' Belgium', ' Belgium', ' France']",194 450 000.00 EUR,"[' boulevard de Waterloo 16', ' Da Vincilaan 5', ' 11 boulevard Gallieni']","[' Brussels', ' Zaventem', ' Issy-les-Moulineaux']",3,False,194450000.0,"Bridge3 Consortium (Accenture NV/SA, Atos and Morpho)",True,False,False,False,False,IT services
39,146593-2016,2016,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Capacity increase Eurodac recast.,Services,,5 226 145.50 EUR,"72000000 IT services: consulting, software development, Internet and support",Price,Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:146593-2016:TEXT:EN:HTML&src=0,5226145.5,1,yes,,"[' Consortium S3B, represented by the group leader Sopra Steria Benelux SA', ' Consortium S3B, consortium member: Bull SAS', ' Consortium S3B, consortium member: 3M Belgium BVBA']","[' Belgium', ' France', ' Belgium']",5 226 145.50 EUR,"[' boulevard du Souverain 36', ' 68 rue Jean Jaurès', ' Hermeslaan 7']","[' Brussels', ' Les Clayes-sous-Bois', ' Diegem']",3,False,5226145.5,"S3B Consortium (Steria BE, Bull, Gemalto Cogent)",False,True,False,False,False,IT services
40,438492-2015,2015,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,NA,General public services,Integration of new user (Croatia) in VIS (visa information system) — specific contract No 15 implementing framework contract No HOME-C2-2011-03 of 28.8.2012.,Services,NA,245 009 EUR,"72000000 IT services: consulting, software development, Internet and support",Lowest price,Negotiated without a call for competition,https://ted.europa.eu/udl?uri=TED:NOTICE:438492-2015:TEXT:EN:HTML&src=0,245009.0,1,NA,The contract is likely to be sub-contracted: no,[' Bridge3 consortium (leader: Accenture NV/SA)'],[' Belgium'],245 009 EUR,[' boulevard de Waterloo 16'],[' Brussels'],1,False,245009.0,"Bridge3 Consortium (Accenture NV/SA, Atos and Morpho)",True,False,False,False,False,IT services
41,422703-2015,2015,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,NA,General public services,"LISA/2015/OP/01 Training, coaching and learning provision channel.",Services,NA,2 000 000 EUR,80500000 Training services,The most economically advantageous tender in terms of,Open,https://ted.europa.eu/udl?uri=TED:NOTICE:422703-2015:TEXT:EN:HTML&src=0,2000000.0,4,NA,The contract is likely to be sub-contracted: yes,[' Everesta Sro'],[' Czechia'],2 000 000 EUR,[' Mimoňská 3223'],[' Česká Lípa'],1,True,2000000.0, Everesta Sro,False,False,False,False,False,Training services
42,422702-2015,2015,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,NA,General public services,a) Realisation of VIS storage upgrade — specific contract No 13 implementing framework contract No HOME-C2-2011-03 of 28.8.2012.,Services,NA,"7 850 489,73 EUR","72000000 IT services: consulting, software development, Internet and support",Lowest price,Negotiated without a call for competition,https://ted.europa.eu/udl?uri=TED:NOTICE:422702-2015:TEXT:EN:HTML&src=0,7850489.73,1,NA,The contract is likely to be sub-contracted: no,"[' Bridge3 consortium (leader: Accenture NV/SA)', ' Bridge3 consortium (leader: Accenture NV/SA)']","[' Belgium', ' Belgium']","2 847 242,02 EUR","[' boulevard de Waterloo 16', ' boulevard de Waterloo 16']","[' Brussels', ' Brussels']",2,False,2847242.02,"Bridge3 Consortium (Accenture NV/SA, Atos and Morpho)",True,False,False,False,False,IT services
43,322636-2015,2015,"European Agency for the Οperational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,NA,General public services,Realisation of an evolution concerning the visa information system (Visa Code changes plus) — specific contract No 12 implementing framework contract No HOME-C2-2011-03 of 28.8.2012.,Services,NA,584 500 EUR,"72000000 IT services: consulting, software development, Internet and support",Lowest price,Negotiated without a call for competition,https://ted.europa.eu/udl?uri=TED:NOTICE:322636-2015:TEXT:EN:HTML&src=0,584500.0,1,NA,The contract is likely to be sub-contracted: no,[' Bridge3 Consortium (leader: Accenture NV/SA)'],[' Belgium'],584 500 EUR,[' boulevard de Waterloo 16'],[' Brussels'],1,False,584500.0,"Bridge3 Consortium (Accenture NV/SA, Atos and Morpho)",False,False,False,False,False,IT services
44,221695-2015,2015,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,NA,General public services,LISA/2014/OP/03 External support.,Services,NA,"56 601 711,13 EUR","72000000 IT services: consulting, software development, Internet and support, 75100000 Administration services",The most economically advantageous tender in terms of,Open,https://ted.europa.eu/udl?uri=TED:NOTICE:221695-2015:TEXT:EN:HTML&src=0,56601711.13,7,NA,The contract is likely to be sub-contracted: yes,[' Consortium U2 — Unisys SA (group leader) and UniSystems Information Technology Systems Commercial SA'],[' Belgium'],"25 663 093,35 EUR",[' avenue du Bourget 20'],[' Brussels'],1,True,25663093.35, Consortium U2 — Unisys SA (group leader) and UniSystems Information Technology Systems Commercial SA,False,False,False,False,False,IT services
45,221695-2015,2015,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,NA,General public services,LISA/2014/OP/03 External support.,Services,NA,"56 601 711,13 EUR","72000000 IT services: consulting, software development, Internet and support, 75100000 Administration services",The most economically advantageous tender in terms of,Open,https://ted.europa.eu/udl?uri=TED:NOTICE:221695-2015:TEXT:EN:HTML&src=0,56601711.13,7,NA,The contract is likely to be sub-contracted: no,"[' Consortium ALT+ENTER, consisting of Accenture SA (group leader) and Altran Technologies SA']",[' Belgium'],"25 663 093,35 EUR",[' Waterloolaan 16'],[' Brussels'],1,False,25663093.35," Consortium ALT+ENTER, consisting of Accenture SA (group leader) and Altran Technologies SA",False,False,False,False,False,IT services
46,221695-2015,2015,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,NA,General public services,LISA/2014/OP/03 External support.,Services,NA,"56 601 711,13 EUR","72000000 IT services: consulting, software development, Internet and support, 75100000 Administration services",The most economically advantageous tender in terms of,Open,https://ted.europa.eu/udl?uri=TED:NOTICE:221695-2015:TEXT:EN:HTML&src=0,56601711.13,7,NA,The contract is likely to be sub-contracted: yes,"[' Consortium Bull–Atos–Ernst & Young, consisting of Bull SAS (group leader), Atos Integration SAS and Ernst & Young et Associés']",[' France'],"25 663 093,35 EUR","[' rue Jean Jaurès, BP 68']",[' Les Clayes-sous-Bois'],1,True,25663093.35," Consortium Bull–Atos–Ernst & Young, consisting of Bull SAS (group leader), Atos Integration SAS and Ernst & Young et Associés",False,False,False,False,False,IT services
47,221695-2015,2015,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,NA,General public services,LISA/2014/OP/03 External support.,Services,NA,"56 601 711,13 EUR","72000000 IT services: consulting, software development, Internet and support, 75100000 Administration services",The most economically advantageous tender in terms of,Open,https://ted.europa.eu/udl?uri=TED:NOTICE:221695-2015:TEXT:EN:HTML&src=0,56601711.13,7,NA,The contract is likely to be sub-contracted: no,"[' Consortium ACTO, consisting of Accenture SA (group leader) and Tieto Estonia AS']",[' Belgium'],"21 451 501,78 EUR",[' Waterloolaan 16'],[' Brussels'],1,False,21451501.78," Consortium ACTO, consisting of Accenture SA (group leader) and Tieto Estonia AS",False,False,False,False,False,IT services
48,221695-2015,2015,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,NA,General public services,LISA/2014/OP/03 External support.,Services,NA,"56 601 711,13 EUR","72000000 IT services: consulting, software development, Internet and support, 75100000 Administration services",The most economically advantageous tender in terms of,Open,https://ted.europa.eu/udl?uri=TED:NOTICE:221695-2015:TEXT:EN:HTML&src=0,56601711.13,7,NA,The contract is likely to be sub-contracted: yes,[' Consortium U2 — Unisys SA (group leader) and UniSystems Information Technology Systems Commercial SA'],[' Belgium'],"21 451 501,78 EUR",[' avenue du Bourget 20'],[' Brussels'],1,True,21451501.78, Consortium U2 — Unisys SA (group leader) and UniSystems Information Technology Systems Commercial SA,False,False,False,False,False,IT services
49,221695-2015,2015,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,NA,General public services,LISA/2014/OP/03 External support.,Services,NA,"56 601 711,13 EUR","72000000 IT services: consulting, software development, Internet and support, 75100000 Administration services",The most economically advantageous tender in terms of,Open,https://ted.europa.eu/udl?uri=TED:NOTICE:221695-2015:TEXT:EN:HTML&src=0,56601711.13,7,NA,The contract is likely to be sub-contracted: yes,"[' Tarkus consortium, consisting of Everis Spain SLU succursale en Belgique (group leader), Deloitte Consulting CVBA and AS CGI Eesti']",[' Belgium'],"21 451 501,78 EUR","["" avenue d'Auderghem 22–28""]",[' Brussels'],1,True,21451501.78," Tarkus consortium, consisting of Everis Spain SLU succursale en Belgique (group leader), Deloitte Consulting CVBA and AS CGI Eesti",False,False,False,False,False,IT services
50,221695-2015,2015,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,NA,General public services,LISA/2014/OP/03 External support.,Services,NA,"56 601 711,13 EUR","72000000 IT services: consulting, software development, Internet and support, 75100000 Administration services",The most economically advantageous tender in terms of,Open,https://ted.europa.eu/udl?uri=TED:NOTICE:221695-2015:TEXT:EN:HTML&src=0,56601711.13,2,NA,The contract is likely to be sub-contracted: yes,[' infeurope SA'],[' Luxembourg'],3 572 116 EUR,"[' 62, rue Charles Martel']",[' Luxembourg'],1,True,3572116.0, infeurope SA,False,False,False,False,False,IT services
51,221695-2015,2015,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,NA,General public services,LISA/2014/OP/03 External support.,Services,NA,"56 601 711,13 EUR","72000000 IT services: consulting, software development, Internet and support, 75100000 Administration services",The most economically advantageous tender in terms of,Open,https://ted.europa.eu/udl?uri=TED:NOTICE:221695-2015:TEXT:EN:HTML&src=0,56601711.13,2,NA,The contract is likely to be sub-contracted: no,[' ManpowerGroup Solutions Belgium SA'],[' Belgium'],3 572 116 EUR,[' avenue des Communautés 110'],[' Brussels'],1,False,3572116.0, ManpowerGroup Solutions Belgium SA,False,False,False,False,False,IT services
52,221695-2015,2015,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,NA,General public services,LISA/2014/OP/03 External support.,Services,NA,"56 601 711,13 EUR","72000000 IT services: consulting, software development, Internet and support, 75100000 Administration services",The most economically advantageous tender in terms of,Open,https://ted.europa.eu/udl?uri=TED:NOTICE:221695-2015:TEXT:EN:HTML&src=0,56601711.13,2,NA,The contract is likely to be sub-contracted: no,[' ManpowerGroup Solutions Belgium SA'],[' Belgium'],5 915 000 EUR,[' avenue des Communautés 110'],[' Brussels'],1,False,5915000.0, ManpowerGroup Solutions Belgium SA,False,False,False,False,False,IT services
53,221695-2015,2015,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,NA,General public services,LISA/2014/OP/03 External support.,Services,NA,"56 601 711,13 EUR","72000000 IT services: consulting, software development, Internet and support, 75100000 Administration services",The most economically advantageous tender in terms of,Open,https://ted.europa.eu/udl?uri=TED:NOTICE:221695-2015:TEXT:EN:HTML&src=0,56601711.13,2,NA,The contract is likely to be sub-contracted: yes,"[' Consortium Civitta, consisting of Civitta Eesti AS (group leader), Innopolis Insenerid OÜ and Civitta UAB']",[' Estonia'],5 915 000 EUR,[' Riia 24a'],[' Tartu'],1,True,5915000.0," Consortium Civitta, consisting of Civitta Eesti AS (group leader), Innopolis Insenerid OÜ and Civitta UAB",False,False,False,False,False,IT services
54,369424-2014,2014,"European Agency for the Οperational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,NA,General public services,"LISA/2014/NP/14 Amendment No 1 to framework contract LISA/2013/NP/02-bis (execution of works at the eu-LISA back-up site in Sankt Johann im Pongau, Austria).",Works,NA,500 000 EUR,"51000000 Installation services (except software), 45200000 Works for complete or part construction and civil engineering work",Lowest price,Negotiated without a call for competition,https://ted.europa.eu/udl?uri=TED:NOTICE:369424-2014:TEXT:EN:HTML&src=0,500000.0,1,NA,The contract is likely to be sub-contracted: yes,[' ELIN GmbH & Co KG'],[' Austria'],500 000 EUR,[' Pfarrgasse 75'],[' Vienna'],1,True,500000.0,ELIN GmbH,False,False,False,False,False,Installation services
55,332868-2014,2014,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,NA,General public services,LISA/2014/OP/01 Communication and events.,Services,NA,5 000 000 EUR,"79900000 Miscellaneous business and business-related services, 79950000 Exhibition, fair and congress organisation services, 79960000 Photographic and ancillary services, 79970000 Publishing services, 79997000 Business travel services, 79800000 Printing and related services",The most economically advantageous tender in terms of,Open,https://ted.europa.eu/udl?uri=TED:NOTICE:332868-2014:TEXT:EN:HTML&src=0,5000000.0,3,NA,The contract is likely to be sub-contracted: no,"[' Mostra SA', ' Consortium Propager SARL and North East West South (NEWS) Travel SA']","[' Belgium', ' France']",1 500 000 EUR,"["" chaussée d'Alsemberg 1001"", ' 70 boulevard de Reuilly']","[' Brussels', ' Paris']",2,False,1500000.0," Mostra SA, Consortium Propager SARL and North East West South (NEWS) Travel SA",False,False,False,False,False,Miscellaneous
56,261497-2014,2014,"European Agency for the Οperational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,NA,General public services,Realisation of an evolution (so-called 'BMS 2.0') — amendment No 1 to SC No 11 of 10.6.2014 implementing MWO FWC 'HOME-C2-2011-03' of 28.8.2012.,Services,NA,"23 697 450,85 EUR","72000000 IT services: consulting, software development, Internet and support",Lowest price,Negotiated without a call for competition,https://ted.europa.eu/udl?uri=TED:NOTICE:261497-2014:TEXT:EN:HTML&src=0,23697450.85,1,NA,The contract is likely to be sub-contracted: no,[' Bridge3 Consortium (leader: Accenture NV/SA)'],[' Belgium'],"23 697 450,85 EUR",[' boulevard Waterloo 16'],[' Brussels'],1,False,23697450.85,"Bridge3 Consortium (Accenture NV/SA, Atos and Morpho)",False,False,False,False,False,IT services
57,253801-2014,2014,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,NA,General public services,LISA/2013/RP/01 Eurodac recast.,Services,NA,"7 487 861,65 EUR","72000000 IT services: consulting, software development, Internet and support, 72210000 Programming services of packaged software products, 72220000 Systems and technical consultancy services, 72230000 Custom software development services, 72250000 System and support services, 72260000 Software-related services, 72267000 Software maintenance and repair services",The most economically advantageous tender in terms of,Restricted,https://ted.europa.eu/udl?uri=TED:NOTICE:253801-2014:TEXT:EN:HTML&src=0,7487861.65,2,NA,The contract is likely to be sub-contracted: no,"[' Consortium S3B, consisting of Steria Benelux SA/NV (group leader), 3M Belgium BVBA/SPRL, Bull SAS']",[' Belgium'],"7 487 861,65 EUR",[' boulevard du Souverain 36'],[' Brussels'],1,False,7487861.65,"S3B Consortium (Steria BE, Bull, Gemalto Cogent)",False,True,False,False,False,IT services
58,246770-2014,2014,"European Agency for the Οperational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,NA,General public services,Integrated building and technical infrastructure maintenance services at the eu-LISA's operational centre in Strasbourg.,Services,NA,1 100 000 EUR,"50700000 Repair and maintenance services of building installations, 50850000 Repair and maintenance services of furniture",The most economically advantageous tender in terms of,Restricted,https://ted.europa.eu/udl?uri=TED:NOTICE:246770-2014:TEXT:EN:HTML&src=0,1100000.0,2,NA,The contract is likely to be sub-contracted: yes,[' Axima Concept'],[' France'],1 100 000 EUR,"[' Tour Voltaire 1, place des Degrés']",[' Paris'],1,True,1100000.0,Axima Concept SA,False,False,False,False,False,Repair and maintenance
59,123203-2014,2014,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,NA,General public services,Framework contract for the maintenance in working order of the Schengen information system II (MWO SIS II).,Services,NA,50 000 000 EUR,"72700000 Computer network services, 72540000 Computer upgrade services",The most economically advantageous tender in terms of,Restricted,https://ted.europa.eu/udl?uri=TED:NOTICE:123203-2014:TEXT:EN:HTML&src=0,50000000.0,3,NA,The contract is likely to be sub-contracted: yes,"[' ATOS Belgium SA/NV (leader), Accenture NV/SA (member), and Hewlett Packard Belgium BVBA/SPRL (member)']",[' Belgium'],50 000 000 EUR,[' Da Vincilaan 5'],[' Zaventem'],1,True,50000000.0," ATOS Belgium SA/NV (leader), Accenture NV/SA (member), and Hewlett Packard Belgium BVBA/SPRL (member)",False,False,False,True,False,Computer network services
60,026876-2014,2014,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,NA,General public services,"Security guard and reception services at the European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice, for Tallinn, Estonia and Strasbourg, France.",Services,NA,3 092 146 EUR,"79710000 Security services, 79713000 Guard services, 79992000 Reception services",The most economically advantageous tender in terms of,Restricted,https://ted.europa.eu/udl?uri=TED:NOTICE:026876-2014:TEXT:EN:HTML&src=0,3092146.0,1,NA,The contract is likely to be sub-contracted: no,"[' Securitas France SARL', ' AS G4S Eesti']","[' France', ' Estonia']",2 898 268 EUR,"[' 6 rue de Copenhague', ' A. H. Tammsaare tee 25']","[' Strasbourg', ' Tallinn']",2,False,2898268.0," Securitas France SARL, AS G4S Eesti",False,False,False,False,False,Security services
