,id,year,contracting_authority_official_name,contracting_authority_country,contracting_authority_nut,contracting_authority_main_activity,object_title,object_type,object_description,object_total_value,cpv,award_criteria,procedure_type,url,object_total_value_clean,tenders,group_economic_operator,subcontracting,contractors,contractors_countries,contractors_total_value,award_of_contracts_address,award_of_contracts_town,group_economic_operator_boolean,subcontracting_boolean,contractors_total_value_clean,contractors_clean,VIS,Eurodac,SIS I,SIS II,Entry Exit System
0,410436-2020,2020,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",France,FR FRANCE,General public services,Transversal Engineering Framework (TEF) Lot 2,Services,,187 000 000.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality / Weighting: 70,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:410436-2020:TEXT:EN:HTML&src=0,187000000.0,6,no,The contract is likely to be subcontracted,[' Intrasoft International SA'],[' Luxembourg'],187 000 000.00 EUR,"[' 2b, rue Nicolas Bové']",[' Luxembourg'],1,True,187000000.0, Intrasoft International SA,False,False,False,False,False
1,410436-2020,2020,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",France,FR FRANCE,General public services,Transversal Engineering Framework (TEF) Lot 2,Services,,187 000 000.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality / Weighting: 70,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:410436-2020:TEXT:EN:HTML&src=0,187000000.0,6,no,The contract is likely to be subcontracted,[' Atos Belgium N.V./S.A.'],[' Belgium'],187 000 000.00 EUR,[' DA Vincilaan 5'],[' Zaventem'],1,True,187000000.0, Atos Belgium N.V./S.A.,False,False,False,False,False
2,410436-2020,2020,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",France,FR FRANCE,General public services,Transversal Engineering Framework (TEF) Lot 2,Services,,187 000 000.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality / Weighting: 70,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:410436-2020:TEXT:EN:HTML&src=0,187000000.0,6,yes,,"[' European Dynamics Luxembourg SA (Group Leader)', ' European Dynamics SA', ' European Dynamics Belgium SA']","[' Luxembourg', ' Greece', ' Belgium']",187 000 000.00 EUR,"[' 12, rue Jean Engling', ' 209, Kifissias Ave. & Arkadiou Str', ' 15, rue Belliard']","[' Luxembourg', ' Athens', ' Brussels']",3,False,187000000.0,European Dynamics,False,False,False,False,False
3,410436-2020,2020,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",France,FR FRANCE,General public services,Transversal Engineering Framework (TEF) Lot 2,Services,,187 000 000.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality / Weighting: 70,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:410436-2020:TEXT:EN:HTML&src=0,187000000.0,6,yes,The contract is likely to be subcontracted,"[' Sopra Steria Benelux NV/SA (Group leader)', ' Everis Belgique SPRL']","[' Belgium', ' Belgium']",187 000 000.00 EUR,"[' 15-23 avenue Arnaud Fraiteur', ' rue de SPA 8']","[' Brussels', ' Brussels']",2,True,187000000.0," Sopra Steria Benelux NV/SA (Group leader), Everis Belgique SPRL",False,False,False,False,False
4,410436-2020,2020,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",France,FR FRANCE,General public services,Transversal Engineering Framework (TEF) Lot 2,Services,,187 000 000.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality / Weighting: 70,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:410436-2020:TEXT:EN:HTML&src=0,187000000.0,6,yes,The contract is likely to be subcontracted,"[' ARHS Developments SA (Group Leader)', ' Sword Technologies SA']","[' Luxembourg', ' Luxembourg']",187 000 000.00 EUR,"[' 13 Boulevard du Jazz', "" 2 rue d'Arlon""]","[' Belvaux', ' Windhof']",2,True,187000000.0," ARHS Developments SA (Group Leader), Sword Technologies SA",False,False,False,False,False
5,314969-2020,2020,"European Union Agency for the Operational Management of Large-scale IT Systems in the Area of Freedom, Security and Justice (EU-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Supply of Personal Protective Equipment (Face Masks) for EU-LISA,Supplies,,127 060.00 EUR,35113400 Protective and safety clothing,Price,Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:314969-2020:TEXT:EN:HTML&src=0,127060.0,1,no,,[' 365JP OÜ'],[' Estonia'],127 060.00 EUR,[' Lauliku 8-8'],[' Saku Alevik'],1,False,127060.0, 365JP OÜ,False,False,False,False,False
6,200083-2020,2020,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Framework Contract for Implementation and Maintenance in Working Order of the Biometrics Part of the Entry Exit System and Future Shared Biometrics Matching System,Services,,302 550 000.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Technical offer / Weighting: 60,Restricted procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:200083-2020:TEXT:EN:HTML&src=0,302550000.0,3,yes,The contract is likely to be subcontracted,"[' Idemia Identity & Security SAS', ' Sopra Steria Benelux SA/NV']","[' France', ' Belgium']",302 550 000.00 EUR,"[' 2, place Samuel de Champlain', ' 15/23 Avenue Arnaud Fraiteur']","[' Courbevoie', ' Brussels']",2,True,302550000.0," Idemia Identity & Security SAS, Sopra Steria Benelux SA/NV",False,False,False,False,True
7,170115-2020,2020,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,ICT External Assistance HQ,Services,,12 001 600.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality of tenderer’s proposal (including due diligence and phase-in plan) / Weighting: 60,Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:170115-2020:TEXT:EN:HTML&src=0,12001600.0,2,yes,The contract is likely to be subcontracted,"[' Unisys Belgium SA', ' PwC EU Services EESV', ' UniSystems Information Technology Systems Commercial SMSA']","[' Belgium', ' Belgium', ' Greece']",12 001 600.00 EUR,NA,"[' Diegem', ' Sint-Stevens-Woluwe', ' Athens']",3,True,12001600.0," Unisys Belgium SA, PwC EU Services EESV, UniSystems Information Technology Systems Commercial SMSA",False,False,False,False,False
8,596080-2019,2019,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Provision of External Assistance (EXTRA),Services,,76 060 316.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality of tenderer’s proposal (including due diligence and phase-in plan) / Weighting: 15,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:596080-2019:TEXT:EN:HTML&src=0,76060316.0,4,no,,[' Infeurope SA'],[' Luxembourg'],5 465 500.00 EUR,NA,[' Luxembourg'],1,False,5465500.0,Infeurope SA,False,False,False,False,False
9,596080-2019,2019,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Provision of External Assistance (EXTRA),Services,,76 060 316.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality of tenderer’s proposal (including due diligence and phase-in plan) / Weighting: 15,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:596080-2019:TEXT:EN:HTML&src=0,76060316.0,4,yes,,"[' Civitta Eesti AS', ' Advokaadiburoo Sorainen AS']","[' Estonia', ' Estonia']",5 465 500.00 EUR,NA,"[' Tartu', ' Tallinn']",2,False,5465500.0," Civitta Eesti AS, Advokaadiburoo Sorainen AS",False,False,False,False,False
10,596080-2019,2019,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Provision of External Assistance (EXTRA),Services,,76 060 316.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality of tenderer’s proposal (including due diligence and phase-in plan) / Weighting: 15,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:596080-2019:TEXT:EN:HTML&src=0,76060316.0,4,no,,[' Vector Synergy Spolka z Ograniczona Odpowiedzianoscia'],[' Portugal'],5 465 500.00 EUR,[' rue du Fort Niedergrünewald'],[' Poznan'],1,False,5465500.0, Vector Synergy Spolka z Ograniczona Odpowiedzianoscia,False,False,False,False,False
11,596077-2019,2019,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Provision of External Assistance (EXTRA),Services,,76 060 316.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality of tenderer’s proposal (including due diligence and phase-in plan) / Weighting: 15,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:596077-2019:TEXT:EN:HTML&src=0,76060316.0,3,yes,,"[' Unisys Belgium SA', ' PwC EU Services EESV', ' UniSystems Information Technology Systems Commercial SMSA']","[' Belgium', ' Belgium', ' Greece']",44 960 400.00 EUR,NA,"[' Diegem', ' Woluwedal', ' Athens']",3,False,44960400.0," Unisys Belgium SA, PwC EU Services EESV, UniSystems Information Technology Systems Commercial SMSA",False,False,False,False,False
12,596077-2019,2019,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Provision of External Assistance (EXTRA),Services,,76 060 316.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality of tenderer’s proposal (including due diligence and phase-in plan) / Weighting: 15,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:596077-2019:TEXT:EN:HTML&src=0,76060316.0,3,no,,[' CGITI Portugal SA'],[' Portugal'],44 960 400.00 EUR,NA,[' Lisbon'],1,False,44960400.0, CGITI Portugal SA,False,False,False,False,False
13,596077-2019,2019,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Provision of External Assistance (EXTRA),Services,,76 060 316.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality of tenderer’s proposal (including due diligence and phase-in plan) / Weighting: 15,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:596077-2019:TEXT:EN:HTML&src=0,76060316.0,3,no,,[' Engineering Ingegneria Informatica S.p.A.'],[' Italy'],44 960 400.00 EUR,[' rue du Fort Niedergrünewald'],[' Rome'],1,False,44960400.0, Engineering Ingegneria Informatica S.p.A.,False,False,False,False,False
14,596076-2019,2019,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Provision of External Assistance (EXTRA),Services,,76 060 316.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality of tenderer’s proposal (including due diligence and phase-in plan) / Weighting: 15,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:596076-2019:TEXT:EN:HTML&src=0,76060316.0,3,no,,[' Infeurope SA'],[' Luxembourg'],13 632 816.00 EUR,NA,[' Luxembourg'],1,False,13632816.0,Infeurope SA,False,False,False,False,False
15,596076-2019,2019,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Provision of External Assistance (EXTRA),Services,,76 060 316.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality of tenderer’s proposal (including due diligence and phase-in plan) / Weighting: 15,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:596076-2019:TEXT:EN:HTML&src=0,76060316.0,3,yes,,"[' Civitta Eesti AS', ' Advokaadiburoo Sorainen AS']","[' Estonia', ' Estonia']",13 632 816.00 EUR,NA,"[' Tartu', ' Tallinn']",2,False,13632816.0," Civitta Eesti AS, Advokaadiburoo Sorainen AS",False,False,False,False,False
16,596076-2019,2019,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Provision of External Assistance (EXTRA),Services,,76 060 316.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality of tenderer’s proposal (including due diligence and phase-in plan) / Weighting: 15,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:596076-2019:TEXT:EN:HTML&src=0,76060316.0,3,no,,[' Vector Synergy Spolka z Ograniczona Odpowiedzianoscia'],[' Poland'],13 632 816.00 EUR,[' Rue du Fort Niedergrünewald'],[' Poznan'],1,False,13632816.0, Vector Synergy Spolka z Ograniczona Odpowiedzianoscia,False,False,False,False,False
17,593676-2019,2019,"European Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,"Provision of Training, Conferences, Seminars, Coaching, e-learning, Learning and Organisational Development Services",Services,,2 500 000.00 EUR,80000000 Education and training services,Quality criterion - Name: Quality (as per Tender Specifications section 3.4.1) / Weighting: 60 %,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:593676-2019:TEXT:EN:HTML&src=0,2500000.0,3,yes,The contract is likely to be subcontracted,"[' INFEUROPE S.A.', ' imc information multimedia communication AG']","[' Luxembourg', ' Germany']",2 500 000.00 EUR,NA,"[' Luxembourg', ' Saarbruecken']",2,True,2500000.0,Infeurope SA,False,False,False,False,False
18,526594-2019,2019,"European Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,"Framework Contract for Maintenance Services and Works for Update and Improve the eu-LISA Back-up Site in Sankt Johann im Pongau, Austria",Services,,2 500 000.00 EUR,50710000 Repair and maintenance services of electrical and mechanical building installations,Price,Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:526594-2019:TEXT:EN:HTML&src=0,2500000.0,1,no,,[' ELIN GmbH'],[' Austria'],2 500 000.00 EUR,[' Pfarrgasse 75'],[' Wien'],1,False,2500000.0,ELIN GmbH,False,False,False,False,False
19,439743-2019,2019,"European Union Agency for the Operational Management of Large-scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Provision of Medical Services,Services,,600 000.00 EUR,85100000 Health services,Quality criterion - Name: Medical approach and overall management of the process: quality of proposal / Weighting: 20,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:439743-2019:TEXT:EN:HTML&src=0,600000.0,1,no,,[' Qvalitas Arstikeskus AS'],[' Estonia'],200 000.00 EUR,[' rue du Fort Niedergrünewald'],[' Tallinn'],1,False,200000.0, Qvalitas Arstikeskus AS,False,False,False,False,False
