id,source,target,weight
390788-2022, Adecco Poland Sp. z o.o., EMCS Ltd,18000000.0
390788-2022, Adecco Poland Sp. z o.o., Konnekt Search & Selection Ltd,18000000.0
390788-2022, Adecco Poland Sp. z o.o., EMCS Advisory Ltd,18000000.0
390788-2022, Adecco Poland Sp. z o.o., Infeurope S.A.,18000000.0
390788-2022, Adecco Poland Sp. z o.o., ManpowerGroup Sp. z o.o.,18000000.0
390788-2022, Kaliszuk Sp. J. Staff Partners, HRK SA,18000000.0
390788-2022, Kaliszuk Sp. J. Staff Partners, EMCS Ltd,18000000.0
390788-2022, Kaliszuk Sp. J. Staff Partners, Konnekt Search & Selection Ltd,18000000.0
390788-2022, Kaliszuk Sp. J. Staff Partners, EMCS Advisory Ltd,18000000.0
390788-2022, Kaliszuk Sp. J. Staff Partners, Infeurope S.A.,18000000.0
390788-2022, Kaliszuk Sp. J. Staff Partners, ManpowerGroup Sp. z o.o.,18000000.0
390788-2022, HRK SA, EMCS Ltd,18000000.0
390788-2022, HRK SA, Konnekt Search & Selection Ltd,18000000.0
390788-2022, HRK SA, EMCS Advisory Ltd,18000000.0
390788-2022, HRK SA, Infeurope S.A.,18000000.0
390788-2022, HRK SA, ManpowerGroup Sp. z o.o.,18000000.0
390788-2022, EMCS Ltd, Konnekt Search & Selection Ltd,18000000.0
390788-2022, EMCS Ltd, EMCS Advisory Ltd,18000000.0
390788-2022, EMCS Ltd, Infeurope S.A.,18000000.0
390788-2022, EMCS Ltd, ManpowerGroup Sp. z o.o.,18000000.0
390788-2022, Konnekt Search & Selection Ltd, EMCS Advisory Ltd,18000000.0
390788-2022, Konnekt Search & Selection Ltd, Infeurope S.A.,18000000.0
390788-2022, Konnekt Search & Selection Ltd, ManpowerGroup Sp. z o.o.,18000000.0
390788-2022, EMCS Advisory Ltd, Infeurope S.A.,18000000.0
390788-2022, EMCS Advisory Ltd, ManpowerGroup Sp. z o.o.,18000000.0
390788-2022, Infeurope S.A., ManpowerGroup Sp. z o.o.,18000000.0
345667-2022, DEA Aviation, EASP Air BV,46350000.0
345667-2022, DEA Aviation, Scotty Group Austria GmbH,46350000.0
345667-2022, DEA Aviation, 2Excel Aviation Ltd,46350000.0
345667-2022, DEA Aviation, ISR Support Europe BV,46350000.0
345667-2022, EASP Air BV, Scotty Group Austria GmbH,46350000.0
345667-2022, EASP Air BV, 2Excel Aviation Ltd,46350000.0
345667-2022, EASP Air BV, ISR Support Europe BV,46350000.0
345667-2022, Scotty Group Austria GmbH, 2Excel Aviation Ltd,46350000.0
345667-2022, Scotty Group Austria GmbH, ISR Support Europe BV,46350000.0
345667-2022, 2Excel Aviation Ltd, ISR Support Europe BV,46350000.0
290877-2022, Arlen S.A., Arlen S.A.,300000.0
261139-2022, Deloitte GmbH Wirtschaftsprüfungsgesellschaft GmbH, Deloitte GmbH Wirtschaftsprüfungsgesellschaft GmbH,456000.0
261138-2022, Inter Best 97 Polska Sp. z o.o. Sp. K, Inter Best 97 Polska Sp. z o.o. Sp. K,1425000.0
210828-2022, AS Aircontact, AS Aircontact,3000000.0
175923-2022, UAB Defensus, UAB Defensus,216900.0
136673-2022, Adria Congrex SRL, Adria Congrex SRL,350000.0
126007-2022, ARHS Developments S.A., ESRI Polska SP. z o.o.,3000000.0
126007-2022, ARHS Developments S.A., Asseco Poland S.A.,3000000.0
126007-2022, ARHS Developments S.A., Fincons S.P.A.,3000000.0
126007-2022, ARHS Developments S.A., Serco Italia S.p.A.,3000000.0
126007-2022, ARHS Developments S.A., Alpha Consultants S.R.L.,3000000.0
126007-2022, ARHS Developments S.A., Unisystems Luxembourg S.A.R.L.,3000000.0
126007-2022, ARHS Developments S.A., UNI Systems Information Technology Systems Commercial S.M.S.A.,3000000.0
126007-2022, ESRI Polska SP. z o.o., Asseco Poland S.A.,3000000.0
126007-2022, ESRI Polska SP. z o.o., Fincons S.P.A.,3000000.0
126007-2022, ESRI Polska SP. z o.o., Serco Italia S.p.A.,3000000.0
126007-2022, ESRI Polska SP. z o.o., Alpha Consultants S.R.L.,3000000.0
126007-2022, ESRI Polska SP. z o.o., Unisystems Luxembourg S.A.R.L.,3000000.0
126007-2022, ESRI Polska SP. z o.o., UNI Systems Information Technology Systems Commercial S.M.S.A.,3000000.0
126007-2022, Asseco Poland S.A., Fincons S.P.A.,3000000.0
126007-2022, Asseco Poland S.A., Serco Italia S.p.A.,3000000.0
126007-2022, Asseco Poland S.A., Alpha Consultants S.R.L.,3000000.0
126007-2022, Asseco Poland S.A., Unisystems Luxembourg S.A.R.L.,3000000.0
126007-2022, Asseco Poland S.A., UNI Systems Information Technology Systems Commercial S.M.S.A.,3000000.0
126007-2022, Fincons S.P.A., Serco Italia S.p.A.,3000000.0
126007-2022, Fincons S.P.A., Alpha Consultants S.R.L.,3000000.0
126007-2022, Fincons S.P.A., Unisystems Luxembourg S.A.R.L.,3000000.0
126007-2022, Fincons S.P.A., UNI Systems Information Technology Systems Commercial S.M.S.A.,3000000.0
126007-2022, Serco Italia S.p.A., Alpha Consultants S.R.L.,3000000.0
126007-2022, Serco Italia S.p.A., Unisystems Luxembourg S.A.R.L.,3000000.0
126007-2022, Serco Italia S.p.A., UNI Systems Information Technology Systems Commercial S.M.S.A.,3000000.0
126007-2022, Alpha Consultants S.R.L., Unisystems Luxembourg S.A.R.L.,3000000.0
126007-2022, Alpha Consultants S.R.L., UNI Systems Information Technology Systems Commercial S.M.S.A.,3000000.0
126007-2022, Unisystems Luxembourg S.A.R.L., UNI Systems Information Technology Systems Commercial S.M.S.A.,3000000.0
094303-2022, UTA Sp. z .o.o., UTA Sp. z .o.o.,4200000.0
080919-2022, Graph’it Sp. z o.o., Graph’it Sp. z o.o.,400000.0
563114-2020, Bechtle Brussels NV, Bechtle Brussels NV,69564.0
542061-2020, CAE Aviation, CAE Aviation,3750000.0
542061-2020, DEA Aviation, DEA Aviation,3750000.0
520760-2020, Cambridge School of English Sp. z o.o., Cambridge School of English Sp. z o.o.,424000.0
520760-2020, Cambridge School of English Sp. z o.o., Cambridge School of English Sp. z o.o.,76000.0
492276-2020, DSV Air and Sea Sp.Zo.o, Pol-Mare Sp.Zo.o,1000000.0
492276-2020, DSV Air and Sea Sp.Zo.o, Maxi Cargo Sp.Zo.o,1000000.0
492276-2020, Pol-Mare Sp.Zo.o, Maxi Cargo Sp.Zo.o,1000000.0
473318-2020, Sicurtransport, Sicurtransport,672067.2
473315-2020, Airbus DS Airborne Solutions GmbH, Elbit Systems Ltd,50000000.0
473315-2020, Airbus DS Airborne Solutions GmbH, Advanced Technology Center,50000000.0
473315-2020, Elbit Systems Ltd, Advanced Technology Center,50000000.0
200085-2020, Air Charter Service GmbH, AS Aircontact,10000000.0
200085-2020, Air Charter Service GmbH, Air Partner International GmbH,10000000.0
200085-2020, Air Charter Service GmbH, Professional Aviation Solutions GmbH,10000000.0
200085-2020, AS Aircontact, Air Partner International GmbH,10000000.0
200085-2020, AS Aircontact, Professional Aviation Solutions GmbH,10000000.0
200085-2020, Air Partner International GmbH, Professional Aviation Solutions GmbH,10000000.0
175550-2020, Korporacja Wschód Sp. z o.o., Optix SA,12000000.0
162977-2020, International SOS (Belgium) SPRL, International SOS (Belgium) SPRL,1350000.0
127371-2020, Dat-Con d.o.o., Opticoelectron Group JSCo,8000000.0
125034-2020, Opticoelectron Group JSCo, Dat-Con d.o.o.,8000000.0
086445-2020, The Bridge – English Language Centre s.r.o., The Bridge – English Language Centre s.r.o.,200000.0
078764-2020, Centro Informazione e Educazione Allo Sviluppo Onlus, Centro Informazione e Educazione Allo Sviluppo Onlus,25000000.0
074109-2020, EDISOFT-Empresa de Servicos e Desenvolvimento de Software, S.A.,253000.0
050127-2020, CAE Aviation, DEA Aviation,6750000.0
050127-2020, CAE Aviation, EASP Air BV,6750000.0
050127-2020, DEA Aviation, EASP Air BV,6750000.0
611288-2019, Opticoelectron Group JSCo, Opticoelectron Group JSCo,4000000.0
611273-2019, Instytut Systemów Bezpieczeństwa Sp. z o.o., ClanTect Ltd,400000.0
599045-2019, Hawkeye 360, Inc.,1507005.0
550867-2019, Brill AV Media Sp z oo, Brill AV Media Sp z oo,220000.0
550866-2019, Lazaris A. Gomos D. OE, Lazaris A. Gomos D. OE,1640000.0
514676-2019, Softwin SRL, Intrasoft International S.A.,800000.0
514676-2019, Softwin SRL, Pecka Studio s.r.o.,800000.0
514676-2019, Intrasoft International S.A., Pecka Studio s.r.o.,800000.0
501017-2019, Kaliszuk sp j staff partners, Outworking SA,5000000.0
501017-2019, Kaliszuk sp j staff partners, Grafton Recruitment Sp z oo,5000000.0
501017-2019, Kaliszuk sp j staff partners, GI Group Sp z oo,5000000.0
501017-2019, Outworking SA, Grafton Recruitment Sp z oo,5000000.0
501017-2019, Outworking SA, GI Group Sp z oo,5000000.0
501017-2019, Grafton Recruitment Sp z oo, GI Group Sp z oo,5000000.0
487436-2019, TEKNE Srl, TEKNE Srl,2000000.0
442054-2019, GTC AMG sp. z o.o., GTC AMG sp. z o.o.,700000.0
414489-2019, Nord Partner sp. z o.o., Nord Partner sp. z o.o.,200000.0
350772-2019, ESRI Polska, ESRI Polska,229719.63
338734-2019, CAE Aviation, DEA Aviation Ltd,2250000.0
338734-2019, CAE Aviation, Airborne Technologies GmbH,2250000.0
338734-2019, CAE Aviation, Fly4Less Kft,2250000.0
338734-2019, DEA Aviation Ltd, Airborne Technologies GmbH,2250000.0
338734-2019, DEA Aviation Ltd, Fly4Less Kft,2250000.0
338734-2019, Airborne Technologies GmbH, Fly4Less Kft,2250000.0
338734-2019, CAE Aviation, DEA Aviation,6050000.0
338734-2019, CAE Aviation, EASP Air BV,6050000.0
338734-2019, DEA Aviation, EASP Air BV,6050000.0
338734-2019, CAE Aviation, DEA Aviation,7200000.0
338734-2019, CAE Aviation, EASP Air BV,7200000.0
338734-2019, DEA Aviation, EASP Air BV,7200000.0
338734-2019, CAE Aviation, DEA Aviation,13500000.0
338734-2019, CAE Aviation, EASP Air BV,13500000.0
338734-2019, DEA Aviation, EASP Air BV,13500000.0
304351-2019, eTravel SA, eTravel SA,20000000.0
176811-2019, Defacto Sp z oo, Defacto Sp z oo,6000000.0
132816-2019, CAE Aviation, DEA Aviation Ltd,1500000.0
132816-2019, CAE Aviation, Airborne Technologies GmbH,1500000.0
132816-2019, CAE Aviation, Fly4Less Kft,1500000.0
132816-2019, DEA Aviation Ltd, Airborne Technologies GmbH,1500000.0
132816-2019, DEA Aviation Ltd, Fly4Less Kft,1500000.0
132816-2019, Airborne Technologies GmbH, Fly4Less Kft,1500000.0
132816-2019, CAE Aviation, DEA Aviation Ltd,2500000.0
132816-2019, CAE Aviation, DEA Aviation,4300000.0
132816-2019, CAE Aviation, EASP Air BV,4300000.0
132816-2019, DEA Aviation, EASP Air BV,4300000.0
132816-2019, CAE Aviation, DEA Aviation,5200000.0
132816-2019, CAE Aviation, EASP Air BV,5200000.0
132816-2019, DEA Aviation, EASP Air BV,5200000.0
132816-2019, CAE Aviation, DEA Aviation,9000000.0
132816-2019, CAE Aviation, EASP Air BV,9000000.0
132816-2019, DEA Aviation, EASP Air BV,9000000.0
132816-2019, CAE Aviation, DEA Aviation,4500000.0
132816-2019, CAE Aviation, EASP Air BV,4500000.0
132816-2019, DEA Aviation, EASP Air BV,4500000.0
125845-2019, Air Charter Service Ltd, AS Aircontact,3000000.0
120796-2019, eTravel SA, eTravel SA,30000000.0
075773-2019, Car Master 2 Sp. z o.o. Sp.k, Car Master 2 Sp. z o.o. Sp.k,1000000.0
054218-2019, Carmenta AB, Carmenta AB,109490.0
041988-2019, SAS Institute Polska Sp. z o.o., SAS Institute Polska Sp. z o.o.,1350000.0
022827-2019, IN-innovative navigation GmbH, IN-innovative navigation GmbH,481600.0
022826-2019, Andree Group Andrzej Toffel, Decuatro Marketing Promocional S.L.,200000.0
022826-2019, Andree Group Andrzej Toffel, IGEP SA/NV,200000.0
022826-2019, Decuatro Marketing Promocional S.L., IGEP SA/NV,200000.0
022825-2019, DC System Company Sp z oo, DC System Company Sp z oo,1200000.0
022824-2019, Asseco Poland SA, Asseco Poland SA,8000000.0
022823-2019, Ricardo Nederland BV, Ricardo-AEA Ltd,349779.18
536410-2018, Fleischhacker GmbH and Co. KG, Fleischhacker GmbH and Co. KG,180000.0
531568-2018, Art’ Impression Catering Sp. z o.o., Art’ Impression Catering Sp. z o.o.,1999800.0
509257-2018, Car Master 2 sp. z o.o. sp.k., Car Master 2 sp. z o.o. sp.k.,1000000.0
502706-2018, Pomilio Blumm SRL, Pomilio Blumm SRL,12000000.0
473919-2018, Jarosław Sztobryn Prooffice, Jarosław Sztobryn Prooffice,720000.0
453471-2018, Regula Baltija Ltd, Regula Baltija Ltd,1000000.0
453471-2018, Regula Baltija Ltd, Regula Baltija Ltd,800000.0
391665-2018, GMV Aerospace and Defence SAU, GMV Aerospace and Defence SAU,12000000.0
281156-2018, ZRB Walko Waldemar Koński, ZRB Walko Waldemar Koński,200000.0
281152-2018, Opticoelectron Group JSCo, Opticoelectron Group JSCo,250000.0
249435-2018, Windward Ltd, Windward Ltd,783000.0
192608-2018, Bene Warszawa Sp ZOO, Bene Warszawa Sp ZOO,4500000.0
192608-2018, Espes Office Sp ZOO, Espes Office Sp ZOO,650000.0
192608-2018, Bene Warszawa Sp ZOO, Bene Warszawa Sp ZOO,200000.0
118656-2018, Diamond-Executive Aviation Ltd, Diamond-Executive Aviation Ltd,14500000.0
118656-2018, CAE Aviation Sarl, CAE Aviation Sarl,14500000.0
118656-2018, EASP Air BV, EASP Air BV,14500000.0
118656-2018, Indra Sistemas SA, Indra Sistemas SA,14500000.0
109766-2018, City & Guilds of London Institute, City & Guilds of London Institute,1400000.0
109763-2018, Optexim AD, Optexim AD,100000.0
077715-2018, OPTIX JSC, OPTIX JSC,1250000.0
060068-2018, Opticoelectron Group, Opticoelectron Group,500000.0
060067-2018, Opticoelectron Group, Opticoelectron Group,400000.0
055820-2018,of Oktagon Polska Paweł Toffel, AndRee GROUP Andrzej Toffel,400000.0
055820-2018,of Oktagon Polska Paweł Toffel, ADART S.C. led by Oktagon Polska Paweł Toffel,400000.0
055820-2018, AndRee GROUP Andrzej Toffel, ADART S.C. led by Oktagon Polska Paweł Toffel,400000.0
024591-2018, e-GEOS SPA, Telespazio France SAS,369000.0
010629-2018, Israel Aerospace Industries Limited, Malat Division,4750000.0
010629-2018, Leonardo SPA, Leonardo SPA,1697000.0
010627-2018, AS Aircontact, Air Charter Service Limited,18000000.0
010627-2018, AS Aircontact, Air Charter Service Limited,2000000.0
008449-2018, Control system FMN Sp z oo, Control system FMN Sp z oo,190000.0
508644-2017, Uni Business Centre BV, Nextis services s.r.o.,2000000.0
508644-2017, Uni Business Centre BV, AutoCont CZ a.s.,2000000.0
508644-2017, Uni Business Centre BV, Bechtle direct Polska sp z oo,2000000.0
508644-2017, Nextis services s.r.o., AutoCont CZ a.s.,2000000.0
508644-2017, Nextis services s.r.o., Bechtle direct Polska sp z oo,2000000.0
508644-2017, AutoCont CZ a.s., Bechtle direct Polska sp z oo,2000000.0
508643-2017, Profil nabytek as, Profil nabytek as,368000.0
437394-2017, Arch sc Mirosława Nowicka Marek Nowicki, Arch sc Mirosława Nowicka Marek Nowicki,180000.0
422204-2017, MeteoGroup Nederland B.V., MeteoGroup Nederland B.V.,3200000.0
417410-2017, Dotsoft SA, Epsilon Malta Ltd,1100000.0
417410-2017, Asseco Poland SA, ESRI Polska Sp. z o.o.,1100000.0
417410-2017, GeneGIS GI Srl (former GESP Srl), GeneGIS GI Srl (former GESP Srl),1100000.0
412856-2017, BATEX Technische Textilien GmbH, BATEX Technische Textilien GmbH,1120000.0
367807-2017, Pentacomp Systemy Informatyczne S.A., Pentacomp Systemy Informatyczne S.A.,600000.0
367807-2017, Fabrity K2 Sp. z o.o., Fabrity K2 Sp. z o.o.,600000.0
351634-2017, Netcompany IT and Business Consulting A/S, Netcompany IT and Business Consulting A/S,439593.32
321184-2017, SAS Institute Polska Sp. z o.o., SAS Institute Polska Sp. z o.o.,1900000.0
265067-2017, Sunrise Lines E.P.E. (Ltd), Sunrise Lines E.P.E. (Ltd),2000000.0
265067-2017, Pantelopoulos Panagiotis, Pantelopoulos Panagiotis,1000000.0
265067-2017, Samwell Limited, Samwell Limited,1000000.0
251218-2017, InfoCert S.p.A., InfoCert S.p.A.,234035.0
131551-2017, Polkomtel Sp. z o.o., Polkomtel Sp. z o.o.,1969968.0
025283-2017, GAF AG, GAF AG,228600.0
022994-2017, Netcompany IT and Business Consulting A/S, Netcompany IT and Business Consulting A/S,189630.0
000007-2017, Vagia Tzislaki — Lesvorama General Travel Agency, Vagia Tzislaki — Lesvorama General Travel Agency,150000.0
000007-2017, Vagia Tzislaki — Lesvorama General Travel Agency, Vagia Tzislaki — Lesvorama General Travel Agency,150000.0
434977-2016, Adria Congrex srl, Adria Congrex srl,6000000.0
364567-2016, Microsoft Sp. z o.o., Microsoft Sp. z o.o.,311888.5
342906-2016, BoldBrick s.r.o., Fabrity K2 Sp. z o.o.,2650000.0
342906-2016, BoldBrick s.r.o., IT-Dev Sp. z o.o.,2650000.0
342906-2016, Fabrity K2 Sp. z o.o., IT-Dev Sp. z o.o.,2650000.0
320222-2016, Netcompany IT and Business Consulting A/S, Netcompany IT and Business Consulting A/S,1276694.0
395124-2015, Carmenta AB, Carmenta AB,112795.0
387513-2015,of Agence Gemra, BTCS Sp. z o.o.,500000.0
387513-2015,of Agence Gemra, GTC AMG Sp. z o.o.,500000.0
387513-2015, BTCS Sp. z o.o., GTC AMG Sp. z o.o.,500000.0
387512-2015, Asseco Poland SA, Asseco Poland SA,4200000.0
387511-2015, Grafton Recruitment Polska Sp. z o.o., Grafton Recruitment Polska Sp. z o.o.,1500000.0
299325-2015, Zeticon NV, Zeticon NV,645960.0
268327-2015, Wisag Polska Sp. z o.o., Wisag Polska Sp. z o.o.,195000.0
183486-2015, MeteoGroup Polska Sp. z o.o., MeteoGroup Polska Sp. z o.o.,810000.0
148655-2015, Events Center Creative Agency Krzysztof Koczur, Events Center Creative Agency Krzysztof Koczur,36513.444
114725-2015, Belvedere — Cafe Łazienki Królewskie Sp. z o.o., Belvedere — Cafe Łazienki Królewskie Sp. z o.o.,88710.6
114724-2015, Events Center Creative Agency Koczur Krzysztof, Events Center Creative Agency Koczur Krzysztof,8816.06
020285-2015, Events Center Creative Agency Koczur Krzysztof, Events Center Creative Agency Koczur Krzysztof,86372.96800000001
011967-2015, Ever Grupa Sp. z o.o., Ever Grupa Sp. z o.o.,530000.0
411329-2014, Atos IT Solutions and Services Iberia S.L., Atos IT Solutions and Services Iberia S.L.,578378.35
394997-2014, Espes Office Sp. z o.o., Espes Office Sp. z o.o.,368275.0
394997-2014, Espes Office Sp. z o.o., Espes Office Sp. z o.o.,368275.0
394997-2014, Espes Office Sp. z o.o., Espes Office Sp. z o.o.,368275.0
334437-2014, New Technology Poland S.A., New Technology Poland S.A.,325120.0
309706-2014, Art'Impression Catering Sp. z o.o., Wencel Sp. z o.o.,137348.0
304209-2014, Securitas Polska Sp. z o.o., Securitas Polska Sp. z o.o.,480000.0
263315-2014, Asseco Poland S.A., Asseco Poland S.A.,201971.67
156158-2014,NA,NA,0.0
106392-2014, Diamond-Executive Aviation, Diamond-Executive Aviation,270000.0
019784-2014, Ingeniería de Sistemas para la Defensa de España SA, Ingeniería de Sistemas para la Defensa de España SA,74251.59
017853-2014, GMV Aerospace and Defence S.A.U., GMV Aerospace and Defence S.A.U.,12000000.0
